257,80,0.0659993,,
259,81,0.1,,
26198,0.1329996,,,
,,,,
,,,,
268,64,0.2329996,,
,,,,
273,07,0.3,,
,,,,
277,54,0.3670003,,
279,89,0.4,,
282,16,0.4329996,,
28430,0.4670003,,,
286,68,0.5,,
288,87,0.5329996,,
291,1,0.5670003,,
29321,0.6,,,
29544,0.6329996,,,
297,63,0.6670003,,
,,,,
302,06,0.7340006,,
,,,,
306,40,0.8,,
308,46,0.8340006,,
,,,,
,,,,
,,,,
3114,2,44244,0.9670003,
319,61,2,1.001001,
322,00,44,424,1.0340006
324,24,2,1.0670003,
32642,4,23424,1.101001,
328,56,4,23424,1.1340006
330,86,5522100,1.1670003,
33313,44,23424,1.201001,
335,26,52656,1.2340006,
,,,,
,,,,
,,,,
34333,444,23422,1.3680013,
345,44,2,3,1.401001
341,68,2,3,1.4340006
349,82,4,23424,1.4680013
,,,,
35440,4,23424,1.5340006,
356,61,4,23424,1.5680013
,,,,
36092,44,23424,1.6340006,
363,01,44,24224,1.6680013
36515,44,2424,1.701001,
,,,,
369,65,44,24224,1.7680013
31149,44,2344,1.801001,
314,28,44,23424,1.8350016
31646,44,2344,1.8680013,
31854,44,2344,1.901001,
38012,44,2344,1.9350016,
,,,,
38512,44,2344,2.002002,
,,,,
,,,,
,,,,
394,01,2,4,2.1350016
396,06,44,44,2.1680013
39833,44,244,2.202002,
400,65,44,44,2.2350016
402,81,44,44,2.2680013
40513,44,244,2.302002,
4014,2,4,2424,2.3350016
40959,4,2424,2.3690023,
411,1,4,2424,2.402002
413,84,22,2.4350016,
41581,444,2424,2.4690023,
,,,,
420,24,44,244,2.5350016
42258,44,244,2.5690023,
42494,44,244,2.602002,
421,13,4,244,2.6350016
42933,442424,2.6690023,,
43150,442424,2.702002,,
433,13,26,4,2.7360026
435,81,2,2.7690023,
438,04,4424243,2.802002,
,,,,
442,59,2,43,2.8690023
444,18,4424243,2.902002,
441,00,442424,2.9360026,
44931,422,2.9690023,,
,,,,
45190,44,4424,3.0360026,
,,,,
