2,0,6,5,2,0.0659993
2,0,9,0,9,0.1
2,1,1,5,6,0.1329996
2,1,4,0,1,0.1659993
2,1,6,4,0,0.2
2,1,9,0,0,0.2329996
2,2,1,6,1,0.2659993
2,2,4,1,7,0.3
2,2,6,7,8,0.3329996
2,2,9,3,3,0.3670003
,,,,,
2,3,4,5,3,0.4329996
,,,,,
2,3,9,6,9,0.5
2,4,2,2,8,0.5329996
2,4,4,8,6,0.5670003
2,4,7,4,0,0.6
2,4,9,9,5,0.6329996
2,5,2,5,2,0.6670003
2,5,5,0,6,0.7
2,5,7,7,1,0.7340006
2,6,0,2,9,0.7670003
2,6,2,6,7,0.8
2,6,5,0,1,0.8340006
2,6,7,5,1,0.8670003
2,7,0,0,5,0.9
2,7,2,5,9,0.9340006
2,7,5,2,7,0.9670003
2,7,7,8,6,1.001001
2,8,0,4,8,1.0340006
2,8,2,9,7,1.0670003
2,8,5,5,8,1.101001
2,8,8,1,6,1.1340006
2,9,0,7,7,1.1670003
2,9,3,2,2,1.201001
2,9,5,7,3,1.2340006
,,,,,
3,0,0,6,3,1.301001
3,0,3,3,2,1.3340006
3,0,5,9,1,1.3680013
3,0,8,5,2,1.401001
3,1,1,0,0,1.4340006
3,1,3,5,9,1.4680013
3,1,6,0,8,1.501001
3,1,8,6,7,1.5340006
3,2,1,2,9,1.5680013
3,2,3,8,9,1.601001
3,2,6,3,2,1.6340006
3,2,8,6,5,1.6680013
3,3,1,0,8,1.701001
3,3,3,5,5,1.7350016
3,3,6,1,7,1.7680013
3,3,8,8,9,1.801001
3,4,1,4,7,1.8350016
3,4,4,0,9,1.8680013
3,4,6,5,2,1.901001
3,4,8,8,3,1.9350016
3,5,1,4,6,1.9680013
3,5,3,9,7,2.002002
3,5,6,6,0,2.0350016
,,,,,
3,6,1,7,4,2.102002
3,6,4,3,3,2.1350016
3,6,6,9,8,2.1680013
3,6,9,6,1,2.202002
3,7,2,2,5,2.2350016
3,7,4,8,5,2.2680013
3,7,7,3,5,2.302002
3,7,9,8,8,2.3350016
3,8,2,3,4,2.3690023
3,8,4,6,6,2.402002
3,8,6,9,5,2.4350016
3,8,9,6,9,2.4690023
3,9,2,3,1,2.502002
3,9,4,9,7,2.5350016
3,9,7,4,6,2.5690023
3,9,9,9,9,2.602002
,,,,,
4,0,5,1,3,2.6690023
4,0,7,6,7,2.702002
4,1,0,1,6,2.7360026
4,1,2,7,3,2.7690023
4,1,5,2,7,2.802002
4,1,7,9,1,2.8360026
4,2,0,5,2,2.8690023
4,2,3,0,4,2.902002
4,2,5,4,5,2.9360026
4,2,7,9,8,2.9690023
4,3,0,5,4,3.003003
4,3,0,9,6,3.0360026
,,,,,
